SSID,Existing QID,New QID,WordNet Definition,Existing Wikidata Description,New Wikidata Description,Accept Existing,Accept New,
https://en-word.net/id/oewn-02026839-n,http://www.wikidata.org/entity/Q202504,http://www.wikidata.org/entity/Q25677554,rare plover of upland areas of Eurasia,species of bird,species of bird,TRUE,TRUE,
https://en-word.net/id/oewn-12203543-n,http://www.wikidata.org/entity/Q6740908,http://www.wikidata.org/entity/Q110132323,shrub of coastal ranges of California and Baja California having hairy branches and spikes of numerous mauve flowers; sometimes placed in genus Sphaeralcea,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-02136356-n,http://www.wikidata.org/entity/Q124410,http://www.wikidata.org/entity/Q122451771,bear with a black coat living in central and eastern Asia,species of mammal,species of mammal,TRUE,TRUE,
https://en-word.net/id/oewn-13217636-n,http://www.wikidata.org/entity/Q5260083,http://www.wikidata.org/entity/Q4815739,fern with elongate silvery outgrowths enclosing the developing spores,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11661945-n,http://www.wikidata.org/entity/Q149851,http://www.wikidata.org/entity/Q15024525,extremely lofty evergreen of southern end of western foothills of Sierra Nevada in California; largest living organism,species of large tree,later homonym,TRUE,TRUE,
https://en-word.net/id/oewn-12538518-n,http://www.wikidata.org/entity/Q174701,http://www.wikidata.org/entity/Q15284053,erect tropical Asian shrub whose small lateral leaflets rotate on their axes and jerk up and down under the influence of sunshine,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11854218-n,http://www.wikidata.org/entity/Q1024025,http://www.wikidata.org/entity/Q15709475,a coarse annual herb introduced into North America from Siberia; dangerous to sheep and cattle on western rangelands because of its high oxalate content,genus of plants,species of plant,FALSE,TRUE,
https://en-word.net/id/oewn-11855123-n,http://www.wikidata.org/entity/Q2713171,http://www.wikidata.org/entity/Q163655,bushy plant of Old World salt marshes and sea beaches having prickly leaves; burned to produce a crude soda ash,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12034554-n,http://www.wikidata.org/entity/Q1431474,http://www.wikidata.org/entity/Q583160,low much-branched perennial of western United States having silvery leaves; an important browse and shelter plant,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-01572064-n,http://www.wikidata.org/entity/Q2192309,http://www.wikidata.org/entity/Q1294154,similar to Audubon's warbler,subspecies of bird,species of bird,TRUE,TRUE,
https://en-word.net/id/oewn-13251976-n,http://www.wikidata.org/entity/Q998341,http://www.wikidata.org/entity/Q17184470,beech fern of North America and Eurasia,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12043577-n,http://www.wikidata.org/entity/Q818481,http://www.wikidata.org/entity/Q87647158,bushy aromatic European perennial herb having clusters of buttonlike white-rayed flower heads; valued traditionally for medicinal uses; sometimes placed in genus Chrysanthemum,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-13203954-n,http://www.wikidata.org/entity/Q1130272,http://www.wikidata.org/entity/Q10956573,Eurasian fern with simple lanceolate fronds,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12538518-n,http://www.wikidata.org/entity/Q174701,http://www.wikidata.org/entity/Q50831300,erect tropical Asian shrub whose small lateral leaflets rotate on their axes and jerk up and down under the influence of sunshine,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12095511-n,http://www.wikidata.org/entity/Q158927,http://www.wikidata.org/entity/Q109482865,European orchid whose flowers resemble flies,"species of plant, fly orchid",,TRUE,TRUE,
https://en-word.net/id/oewn-12067284-n,http://www.wikidata.org/entity/Q159003,http://www.wikidata.org/entity/Q109509453,Japanese orchid with white-striped leaves and slender erect racemes of rose to magenta flowers; often cultivated; sometimes placed in genus Bletia,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-02460039-n,http://www.wikidata.org/entity/Q185167,http://www.wikidata.org/entity/Q142715,a sloth that has three long claws on each forefoot and each hindfoot,genus of mammals,species of mammal,FALSE,TRUE,
https://en-word.net/id/oewn-13251741-n,http://www.wikidata.org/entity/Q3382101,http://www.wikidata.org/entity/Q17171921,beech fern of North American woodlands having straw-colored stripes,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11924946-n,http://www.wikidata.org/entity/Q1478395,http://www.wikidata.org/entity/Q15324515,glaucous herb of northeastern United States and Canada having loose racemes of yellow-tipped pink flowers; sometimes placed in genus Fumaria,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-11924946-n,http://www.wikidata.org/entity/Q1478395,http://www.wikidata.org/entity/Q21874304,glaucous herb of northeastern United States and Canada having loose racemes of yellow-tipped pink flowers; sometimes placed in genus Fumaria,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12374271-n,http://www.wikidata.org/entity/Q199075,http://www.wikidata.org/entity/Q50844383,large evergreen arborescent herb having huge paddle-shaped leaves and bearing inedible fruit that resemble bananas but edible young flower shoots; sometimes placed in genus Musa,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12764112-n,http://www.wikidata.org/entity/Q193449,http://www.wikidata.org/entity/Q50848953,tree of southeastern Asia to Australia grown primarily for its sweet edible fruit resembling litchi nuts; sometimes placed in genera Euphorbia or Nephelium,tropical tree species that produces edible fruit,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12217471-n,http://www.wikidata.org/entity/Q2662709,http://www.wikidata.org/entity/Q65949628,large tree of Queensland having cream-colored flowers blotched with red inside; sometimes placed in genus Sterculia,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-11624497-n,http://www.wikidata.org/entity/Q5472958,http://www.wikidata.org/entity/Q5402509,large attractive palmlike evergreen cycad of New South Wales,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12028235-n,http://www.wikidata.org/entity/Q7320876,http://www.wikidata.org/entity/Q15560837,Australian annual everlasting having light pink nodding flower heads; sometimes placed in genus Helipterum,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-01851617-n,http://www.wikidata.org/entity/Q25940,http://www.wikidata.org/entity/Q28106731,freshwater duck of the Northern Hemisphere having a broad flat bill,species of bird,species of bird,TRUE,TRUE,
https://en-word.net/id/oewn-11863522-n,http://www.wikidata.org/entity/Q149401,http://www.wikidata.org/entity/Q41793314,cactus of the southwestern United States and northern Mexico having edible juicy fruit,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-13251976-n,http://www.wikidata.org/entity/Q998341,http://www.wikidata.org/entity/Q65937181,beech fern of North America and Eurasia,species of plant,species of fern,TRUE,TRUE,
https://en-word.net/id/oewn-12848030-n,http://www.wikidata.org/entity/Q311056,http://www.wikidata.org/entity/Q104952843,tropical American annual climber having red (sometimes white) flowers and finely dissected leaves; naturalized in United States and elsewhere,species of plant in the family Convolvulaceae,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12007980-n,http://www.wikidata.org/entity/Q533481,http://www.wikidata.org/entity/Q110558795,European annual wild lettuce having prickly stems; a troublesome weed in parts of United States,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-12634467-n,http://www.wikidata.org/entity/Q2720105,http://www.wikidata.org/entity/Q164181,submersed plant with whorled lanceolate leaves and solitary axillary flowers; Old World plant naturalized in southern United States and clogging Florida's waterways,genus of aquatic plant,species of plant,FALSE,TRUE,
https://en-word.net/id/oewn-12152609-n,http://www.wikidata.org/entity/Q158894,http://www.wikidata.org/entity/Q9588776,slender European grass of shady places; grown also in northeastern America and temperate Asia,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12665935-n,http://www.wikidata.org/entity/Q15545507,http://www.wikidata.org/entity/Q12835396,small bushy deciduous tree native to Asia and North Africa having pretty pink blossoms and highly prized edible nuts enclosed in a hard green hull; cultivated in southern Australia and California,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11852343-n,http://www.wikidata.org/entity/Q829752,http://www.wikidata.org/entity/Q19849748,densely branched Eurasian plant; foliage turns purple-red in autumn,species of annual plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12042851-n,http://www.wikidata.org/entity/Q1158053,http://www.wikidata.org/entity/Q15281775,white-flowered pyrethrum of Balkan area whose pinnate leaves are white and silky-hairy below; source of an insecticide; sometimes placed in genus Chrysanthemum,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-01851289-n,http://www.wikidata.org/entity/Q26459,http://www.wikidata.org/entity/Q28106837,freshwater duck of Eurasia and northern Africa related to mallards and teals,species of bird,species of bird,TRUE,TRUE,
https://en-word.net/id/oewn-12402750-n,http://www.wikidata.org/entity/Q143016,http://www.wikidata.org/entity/Q112301492,candlewood of Mexico and southwestern California having tall columnar stems and bearing honey-scented creamy yellow flowers,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-11916183-n,http://www.wikidata.org/entity/Q1190329,http://www.wikidata.org/entity/Q127376006,perennial herb found on streams and riversides throughout Europe except extreme north and Mediterranean; sometimes placed in genus Nasturtium,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-12285303-n,http://www.wikidata.org/entity/Q2967382,http://www.wikidata.org/entity/Q50828365,small ornamental evergreen tree of Pacific Coast whose glossy yellow-green leaves are yellow beneath; bears edible nuts,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11780763-n,http://www.wikidata.org/entity/Q2719018,http://www.wikidata.org/entity/Q50848307,Brazilian shrub having twice-pinnate leaves and small spicate flowers followed by flat or irregularly torulose pods; sometimes placed in genus Piptadenia,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11938304-n,http://www.wikidata.org/entity/Q3271463,http://www.wikidata.org/entity/Q87608949,American herb having flat-topped clusters of small white flower heads; reputedly a cause of trembles and milk sickness; sometimes placed in genus Eupatorium,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-12765147-n,http://www.wikidata.org/entity/Q13182,http://www.wikidata.org/entity/Q87631717,Chinese tree cultivated especially in Philippines and India for its edible fruit; sometimes placed in genus Nephelium,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-12039844-n,http://www.wikidata.org/entity/Q7607919,http://www.wikidata.org/entity/Q109730005,dark green erect herb of northwestern United States and southwestern Canada having stiff leaves in dense tufts and yellow flower heads; sometimes placed in genus Haplopappus,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-12665935-n,http://www.wikidata.org/entity/Q15545507,http://www.wikidata.org/entity/Q39918,small bushy deciduous tree native to Asia and North Africa having pretty pink blossoms and highly prized edible nuts enclosed in a hard green hull; cultivated in southern Australia and California,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12553695-n,http://www.wikidata.org/entity/Q8000935,http://www.wikidata.org/entity/Q164138,North American plant similar to true licorice and having a root with similar properties,Wikimedia disambiguation page,species of plant,FALSE,TRUE,
https://en-word.net/id/oewn-11642178-n,http://www.wikidata.org/entity/Q145939,http://www.wikidata.org/entity/Q967962,medium to tall fir of central to western United States having a narrow erect crown and soft wood,"species of fir tree, native to mountains of western North America",species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-13198782-n,http://www.wikidata.org/entity/Q2170121,http://www.wikidata.org/entity/Q4364577,commonly cultivated fern of Australia and southeastern Asia and Polynesia,species of fern in the family Polypodiaceae,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11903797-n,http://www.wikidata.org/entity/Q159370,http://www.wikidata.org/entity/Q11111735,perennial of southern Europe having clusters of fragrant flowers of all colors especially yellow and orange; often naturalized on old walls or cliffs; sometimes placed in genus Erysimum,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12013275-n,http://www.wikidata.org/entity/Q1499327,http://www.wikidata.org/entity/Q50844656,shrub of southwestern Mediterranean region having yellow daisylike flowers,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11951257-n,http://www.wikidata.org/entity/Q2716821,http://www.wikidata.org/entity/Q42681972,perennial cottony-white herb of southwestern United States,species of plant,subspecies of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11951257-n,http://www.wikidata.org/entity/Q2716821,http://www.wikidata.org/entity/Q95983836,perennial cottony-white herb of southwestern United States,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-11868478-n,http://www.wikidata.org/entity/Q3153249,http://www.wikidata.org/entity/Q138282,spring-blooming South American cactus with oblong joints and coral-red flowers; sometimes placed in genus Schlumbergera,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12390182-n,http://www.wikidata.org/entity/Q162486,http://www.wikidata.org/entity/Q159259,European perennial St John's wort; Ireland and France to western Siberia,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-01790476-n,http://www.wikidata.org/entity/Q1329239,http://www.wikidata.org/entity/Q1133152,large marine arthropod of the Atlantic coast of North America having a domed carapace that is shaped like a horseshoe and a stiff pointed tail; a living fossil related to the wood louse,family of arthropods,species of arthropods,TRUE,TRUE,
https://en-word.net/id/oewn-02658478-n,http://www.wikidata.org/entity/Q329334,http://www.wikidata.org/entity/Q1328265,spines become erect when the body is inflated; worldwide in warm waters,family of fish (Diodontidae),species of fish,FALSE,TRUE,
https://en-word.net/id/oewn-12387387-n,http://www.wikidata.org/entity/Q767747,http://www.wikidata.org/entity/Q2089493,low spreading tree of Indonesia yielding an orange to brown gum resin (gamboge) used as a pigment when powdered,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12392750-n,http://www.wikidata.org/entity/Q2706419,http://www.wikidata.org/entity/Q5747460,large evergreen shrub or small tree having white aromatic bark and leathery leaves and small purple to red flowers in terminal cymes,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12034554-n,http://www.wikidata.org/entity/Q1431474,http://www.wikidata.org/entity/Q15562485,low much-branched perennial of western United States having silvery leaves; an important browse and shelter plant,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12748720-n,http://www.wikidata.org/entity/Q157532,http://www.wikidata.org/entity/Q21877266,Old World willow with light green leaves cultivated for use in basketry,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12746919-n,http://www.wikidata.org/entity/Q5649436,http://www.wikidata.org/entity/Q20061120,European willow having greyish leaves and yellow-orange twigs used in basketry,subspecies of plant,variety of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12746919-n,http://www.wikidata.org/entity/Q5649436,http://www.wikidata.org/entity/Q21877272,European willow having greyish leaves and yellow-orange twigs used in basketry,subspecies of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12609081-n,http://www.wikidata.org/entity/Q1043918,http://www.wikidata.org/entity/Q50831547,Brazilian fan palm having an edible root; source of a useful leaf fiber and a brittle yellowish wax,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12376912-n,http://www.wikidata.org/entity/Q42562,http://www.wikidata.org/entity/Q50832769,widely cultivated tropical plant of India having yellow flowers and a large aromatic deep yellow rhizome; source of a condiment and a yellow dye,plant used as spice,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12979834-n,http://www.wikidata.org/entity/Q3289102,http://www.wikidata.org/entity/Q50864834,free-floating aquatic ferns,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12556796-n,http://www.wikidata.org/entity/Q3295899,http://www.wikidata.org/entity/Q87629235,shrub of West Indies and South America that is a source of indigo dye,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-12561662-n,http://www.wikidata.org/entity/Q158592,http://www.wikidata.org/entity/Q161639,scrambling perennial Eurasian wild pea having yellowish flowers and compressed seed pods; cultivated for forage,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-01571533-n,http://www.wikidata.org/entity/Q21962227,http://www.wikidata.org/entity/Q754042,yellow-throated American wood warbler,species of bird,synonym of Setophaga petechia,TRUE,TRUE,
https://en-word.net/id/oewn-02029283-n,http://www.wikidata.org/entity/Q28070835,http://www.wikidata.org/entity/Q1274741,sandpiper-like shorebird of Pacific coasts of North America and South America,species of bird,species of bird,TRUE,TRUE,
https://en-word.net/id/oewn-01823717-n,http://www.wikidata.org/entity/Q319545,http://www.wikidata.org/entity/Q1809222,a kind of lorikeet,species of bird,species of bird,FALSE,TRUE,
