SSID,Existing QID,New QID,WordNet Definition,Existing Wikidata Description,New Wikidata Description,Accept Existing,Accept New,
https://en-word.net/id/oewn-12015561-n,http://www.wikidata.org/entity/Q28437,http://www.wikidata.org/entity/Q50837010,annual Eurasian herb similar in fragrance and medicinal uses to chamomile though taste is more bitter and effect is considered inferior,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12015561-n,http://www.wikidata.org/entity/Q28437,http://www.wikidata.org/entity/Q3978815,annual Eurasian herb similar in fragrance and medicinal uses to chamomile though taste is more bitter and effect is considered inferior,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-82475871-n,http://www.wikidata.org/entity/Q728631,http://www.wikidata.org/entity/Q20744349,a canid living in the deserts of Northern Africa related to the golden jackal and the grey wolf,subspecies of mammal,Canis lupaster,FALSE,TRUE,
https://en-word.net/id/oewn-12420994-n,http://www.wikidata.org/entity/Q14677,http://www.wikidata.org/entity/Q24852921,native to Pacific islands and having edible fruit with a texture like bread,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-13000589-n,http://www.wikidata.org/entity/Q7994710,http://www.wikidata.org/entity/Q49439977,a fungus that attacks living fish and tadpoles and spawn causing white fungus disease: a coating of white hyphae on especially peripheral parts (as fins),"art magazine and project based in Taichung City, Taiwan",species of fungus,FALSE,TRUE,
https://en-word.net/id/oewn-12781076-n,http://www.wikidata.org/entity/Q5175390,http://www.wikidata.org/entity/Q50840308,shrubby tree of southern United States having large plumes of feathery flowers resembling puffs of smoke,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12688892-n,http://www.wikidata.org/entity/Q4919655,http://www.wikidata.org/entity/Q50842199,handsome shrub with showy orange to scarlet or crimson flowers; Florida and West Indies to Mexico and Brazil,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12296994-n,http://www.wikidata.org/entity/Q158608,http://www.wikidata.org/entity/Q50852450,deciduous European oak valued for its tough elastic wood,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11887780-n,http://www.wikidata.org/entity/Q3394026,http://www.wikidata.org/entity/Q50859049,strong-scented herb common in southern United States covered with intermixed gland and hairs,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12624210-n,http://www.wikidata.org/entity/Q7218332,http://www.wikidata.org/entity/Q7535,long cultivated hybrid of Rheum palmatum; stems often cooked in pies or as sauce or preserves,species of plant,"species of plant, sometime used for food",TRUE,TRUE,
https://en-word.net/id/oewn-01571701-n,http://www.wikidata.org/entity/Q27075919,http://www.wikidata.org/entity/Q1410964,black-and-white North American wood warbler having an orange-and-black head and throat,species of bird,species of bird,TRUE,TRUE,
https://en-word.net/id/oewn-12929614-n,http://www.wikidata.org/entity/Q1702483,http://www.wikidata.org/entity/Q1788560,prostrate woody South American herb with white tubular flowers often tinged with blue or rose,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12162967-n,http://www.wikidata.org/entity/Q618324,http://www.wikidata.org/entity/Q1939841,"wheat with hard dark-colored kernels high in gluten and used for bread and pasta; grown especially in southern Russia, North Africa, and northern central North America",species of wheat,species of wheat,TRUE,TRUE,
https://en-word.net/id/oewn-12474941-n,http://www.wikidata.org/entity/Q7852084,http://www.wikidata.org/entity/Q2425417,small early blooming tulip,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11968098-n,http://www.wikidata.org/entity/Q4117857,http://www.wikidata.org/entity/Q4117797,a plant having leaves and stems covered with down that resembles dust,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12243677-n,http://www.wikidata.org/entity/Q4879779,http://www.wikidata.org/entity/Q7607619,tree or tall shrub with shiny leaves and umbels of fragrant creamy-white flowers; yields hard heavy reddish wood,Wikimedia disambiguation page,species of plant,FALSE,TRUE,
https://en-word.net/id/oewn-11813872-n,http://www.wikidata.org/entity/Q279280,http://www.wikidata.org/entity/Q49629862,tropical American aroid having edible tubers that are cooked and eaten like yams or potatoes,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12182698-n,http://www.wikidata.org/entity/Q311251,http://www.wikidata.org/entity/Q87618253,plant bearing squash having globose to ovoid fruit with variously striped grey and green and white warty rinds,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-02506644-n,http://www.wikidata.org/entity/Q591305,http://www.wikidata.org/entity/Q133006,Asian elephant having smaller ears and tusks primarily in the male,subspecies of Asian elephant,species of mammal,TRUE,TRUE,
https://en-word.net/id/oewn-01586469-n,http://www.wikidata.org/entity/Q1588876,http://www.wikidata.org/entity/Q1140949,crow-sized black-and-white bird; a good mimic often caged,species of bird,species of bird,FALSE,TRUE,wrong members
https://en-word.net/id/oewn-12356850-n,http://www.wikidata.org/entity/Q162822,http://www.wikidata.org/entity/Q5850228,somewhat crooked red gum tree growing chiefly along rivers; has durable reddish lumber used in heavy construction,Species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12535097-n,http://www.wikidata.org/entity/Q15531292,http://www.wikidata.org/entity/Q7675170,shrub of Canary Islands having bristle-tipped oblanceolate leaves; used as cattle fodder,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12387387-n,http://www.wikidata.org/entity/Q767747,http://www.wikidata.org/entity/Q18187249,low spreading tree of Indonesia yielding an orange to brown gum resin (gamboge) used as a pigment when powdered,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12297145-n,http://www.wikidata.org/entity/Q1735296,http://www.wikidata.org/entity/Q21877190,medium to large deciduous tree of the eastern United States; its durable wood is used as timber or split and woven into baskets or chair seats,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12214182-n,http://www.wikidata.org/entity/Q151178,http://www.wikidata.org/entity/Q50827497,graceful deciduous shrub or small tree having attractive foliage and small red berries that turn black at maturity and are used for making wine,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11916988-n,http://www.wikidata.org/entity/Q146202,http://www.wikidata.org/entity/Q50838947,Eurasian mustard cultivated for its pungent seeds; a source of table mustard and mustard oil,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12282325-n,http://www.wikidata.org/entity/Q149219,http://www.wikidata.org/entity/Q50841399,North American forest tree with light green leaves and edible nuts,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12724143-n,http://www.wikidata.org/entity/Q1640921,http://www.wikidata.org/entity/Q87582064,South African bulbous wood sorrel with showy yellow flowers,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-11860536-n,http://www.wikidata.org/entity/Q4295494,http://www.wikidata.org/entity/Q50859393,California four o'clock with purple-red flowers,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11860536-n,http://www.wikidata.org/entity/Q4295494,http://www.wikidata.org/entity/Q95945753,California four o'clock with purple-red flowers,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-02578221-n,http://www.wikidata.org/entity/Q850041,http://www.wikidata.org/entity/Q107328425,large blue Pacific remora that attaches to whales and dolphins,species of fish,species of fish,TRUE,TRUE,
https://en-word.net/id/oewn-02620724-n,http://www.wikidata.org/entity/Q218024,http://www.wikidata.org/entity/Q107331225,common along northeastern coast of North America,species of fish,species of fish,TRUE,TRUE,
https://en-word.net/id/oewn-02463082-n,http://www.wikidata.org/entity/Q203033,http://www.wikidata.org/entity/Q122259133,large shaggy-haired toothless anteater with long tongue and powerful claws; of South America,species of mammal,species of mammal,TRUE,TRUE,
https://en-word.net/id/oewn-01850964-n,http://www.wikidata.org/entity/Q704074,http://www.wikidata.org/entity/Q25700,common teal of Eurasia and North America,species of bird,species of duck in the genus Anas,FALSE,TRUE,wrong members
https://en-word.net/id/oewn-12077712-n,http://www.wikidata.org/entity/Q2631281,http://www.wikidata.org/entity/Q156124,"maroon to purple-brown orchid with yellow lip; Europe, North America and Japan",species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-02269516-n,http://www.wikidata.org/entity/Q899799,http://www.wikidata.org/entity/Q1316279,dark-colored insect having predaceous aquatic larvae,insects of the Sialidae family,species of insect,FALSE,TRUE,
https://en-word.net/id/oewn-12521023-n,http://www.wikidata.org/entity/Q21872227,http://www.wikidata.org/entity/Q1378803,cosmopolitan tropical herb or subshrub with yellow flowers and slender curved pods; a weed; sometimes placed in genus Cassia,species of plant,species of legume,TRUE,TRUE,
https://en-word.net/id/oewn-11804595-n,http://www.wikidata.org/entity/Q2452846,http://www.wikidata.org/entity/Q1746442,commonly cultivated anthurium having bright scarlet spathe and spadix,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-02053463-n,http://www.wikidata.org/entity/Q25421,http://www.wikidata.org/entity/Q11846961,small European grebe,species of bird,species of bird,TRUE,TRUE,
https://en-word.net/id/oewn-12153668-n,http://www.wikidata.org/entity/Q3630865,http://www.wikidata.org/entity/Q93077342,tough Asiatic grass whose culms are used for ropes and baskets,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12153668-n,http://www.wikidata.org/entity/Q3630865,http://www.wikidata.org/entity/Q12845384,tough Asiatic grass whose culms are used for ropes and baskets,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12541691-n,http://www.wikidata.org/entity/Q969060,http://www.wikidata.org/entity/Q15530722,low European broom having trifoliate leaves and yellowish-white flowers,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12410831-n,http://www.wikidata.org/entity/Q594058,http://www.wikidata.org/entity/Q21301601,common European violet that grows in woods and hedgerows,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12826775-n,http://www.wikidata.org/entity/Q41503,http://www.wikidata.org/entity/Q21877236,spiny Eurasian shrub having greenish purple-tinged flowers and ovoid yellow-green or red-purple berries,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-02128341-n,http://www.wikidata.org/entity/Q182304,http://www.wikidata.org/entity/Q27450846,long-bodied long-tailed tropical American wildcat,species of small wild cat native to Central and South America,species of mammal,TRUE,TRUE,
https://en-word.net/id/oewn-02128341-n,http://www.wikidata.org/entity/Q182304,http://www.wikidata.org/entity/Q27450875,long-bodied long-tailed tropical American wildcat,species of small wild cat native to Central and South America,species of mammal,TRUE,TRUE,
https://en-word.net/id/oewn-12870712-n,http://www.wikidata.org/entity/Q42081,http://www.wikidata.org/entity/Q50844455,aromatic Mediterranean shrub widely cultivated for its lilac flowers which are dried and used in sachets,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12724801-n,http://www.wikidata.org/entity/Q1355893,http://www.wikidata.org/entity/Q50846934,South American wood sorrel cultivated for its edible tubers,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12735709-n,http://www.wikidata.org/entity/Q3079244,http://www.wikidata.org/entity/Q50881685,small deciduous aromatic shrub (or tree) having spiny branches and yellowish flowers; eastern North America,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12564331-n,http://www.wikidata.org/entity/Q5364126,http://www.wikidata.org/entity/Q87631206,perennial widely planted as for forage and as hay crop especially on poor land,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-11843905-n,http://www.wikidata.org/entity/Q162295,http://www.wikidata.org/entity/Q164118,bushy plant of western United States,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12558074-n,http://www.wikidata.org/entity/Q3712638,http://www.wikidata.org/entity/Q1077410,perennial twining vine of Old World tropics having trifoliate leaves and racemes of fragrant purple pea-like flowers followed by maroon pods of edible seeds; grown as an ornamental and as a vegetable on the Indian subcontinent; sometimes placed in genus Dolichos,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12649466-n,http://www.wikidata.org/entity/Q3002196,http://www.wikidata.org/entity/Q1133411,American red-fruited hawthorn with dense corymbs of pink-red flowers,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12494923-n,http://www.wikidata.org/entity/Q7226448,http://www.wikidata.org/entity/Q4117736,North American perennial herb with smooth foliage and drooping tubular greenish flowers,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12674197-n,http://www.wikidata.org/entity/Q7376203,http://www.wikidata.org/entity/Q7376205,stout-stemmed trailing shrub of New Zealand that scrambles over other growth,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11792393-n,http://www.wikidata.org/entity/Q934636,http://www.wikidata.org/entity/Q10909868,very large closely branched South African shrub having forked bright green spines and shiny leaves,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-02493442-n,http://www.wikidata.org/entity/Q244361,http://www.wikidata.org/entity/Q14850405,the smallest monkey; of tropical forests of the Amazon,species of mammal,species of mammal,TRUE,TRUE,
https://en-word.net/id/oewn-12002811-n,http://www.wikidata.org/entity/Q8051739,http://www.wikidata.org/entity/Q25362844,European hawkweed introduced into northeastern United States; locally troublesome weeds,species of plant,subspecies of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12002811-n,http://www.wikidata.org/entity/Q8051739,http://www.wikidata.org/entity/Q15575765,European hawkweed introduced into northeastern United States; locally troublesome weeds,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12388774-n,http://www.wikidata.org/entity/Q1041898,http://www.wikidata.org/entity/Q93430535,perennial shrub having large star-shaped yellow flowers in narrowly pyramidal cymes,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-12388774-n,http://www.wikidata.org/entity/Q1041898,http://www.wikidata.org/entity/Q39029102,perennial shrub having large star-shaped yellow flowers in narrowly pyramidal cymes,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-01830737-n,http://www.wikidata.org/entity/Q736052,http://www.wikidata.org/entity/Q41214407,greyish-blue North American kingfisher with a chestnut band on its chest,species of bird,species of bird,TRUE,TRUE,
https://en-word.net/id/oewn-12357244-n,http://www.wikidata.org/entity/Q2165298,http://www.wikidata.org/entity/Q50835432,small to medium-sized tree of Australia and Tasmania having smooth white to light-grey bark shedding in patches or strips,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-01859021-n,http://www.wikidata.org/entity/Q386047,http://www.wikidata.org/entity/Q31354,very large wild goose of northeast Asia; interbreeds freely with the greylag,breed of domesticated goose,species of bird,FALSE,TRUE,
https://en-word.net/id/oewn-12391956-n,http://www.wikidata.org/entity/Q343300,http://www.wikidata.org/entity/Q163522,climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12684948-n,http://www.wikidata.org/entity/Q3091779,http://www.wikidata.org/entity/Q5120189,Peruvian shrub or small tree having large glossy leaves and cymes of fragrant yellow to green or red flowers; cultivated for its medicinal bark,Species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12371608-n,http://www.wikidata.org/entity/Q163559,http://www.wikidata.org/entity/Q15250761,canna grown especially for its edible rootstock from which arrowroot starch is obtained,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12684948-n,http://www.wikidata.org/entity/Q3091779,http://www.wikidata.org/entity/Q15399753,Peruvian shrub or small tree having large glossy leaves and cymes of fragrant yellow to green or red flowers; cultivated for its medicinal bark,Species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-02086723-n,http://www.wikidata.org/entity/Q144,http://www.wikidata.org/entity/Q26972265,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,domestic animal,subspecies of mammal,TRUE,TRUE,
https://en-word.net/id/oewn-02086723-n,http://www.wikidata.org/entity/Q144,http://www.wikidata.org/entity/Q20717272,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,domestic animal,species of mammal,TRUE,TRUE,
https://en-word.net/id/oewn-12024283-n,http://www.wikidata.org/entity/Q159107,http://www.wikidata.org/entity/Q20757547,European hawkweed having flower heads with bright orange-red rays; a troublesome weed especially as naturalized in northeastern North America; sometimes placed in genus Hieracium,species of plants,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-01734582-n,http://www.wikidata.org/entity/Q2135031,http://www.wikidata.org/entity/Q26849100,a whipsnake of scrublands and rocky hillsides,species of reptile,species of reptile,TRUE,TRUE,
https://en-word.net/id/oewn-02029729-n,http://www.wikidata.org/entity/Q389691,http://www.wikidata.org/entity/Q50407542,common North American sandpiper,species of bird,species of wader,TRUE,FALSE,