SSID,Lemma,Wikidata
01628775-n,amphibian family,https://www.wikidata.org/wiki/Q10908
01629241-n,amphibian genus,https://www.wikidata.org/wiki/Q10908
01345170-n,animal order,https://www.wikidata.org/wiki/Q729
01761823-n,arthropod family,https://www.wikidata.org/wiki/Q1360
01765166-n,arthropod genus,https://www.wikidata.org/wiki/Q1360
92412542-n,ashanti pepper,-
11586681-n,asterid dicot family,https://www.wikidata.org/wiki/Q747502
11599869-n,asterid dicot genus,https://www.wikidata.org/wiki/Q747502
01354700-n,bacteria family,https://www.wikidata.org/wiki/Q10876
01355215-n,bacteria genus,https://www.wikidata.org/wiki/Q10876
01356052-n,bacteria species,https://www.wikidata.org/wiki/Q10876
01507078-n,bird family,https://www.wikidata.org/wiki/Q5113
01509816-n,bird genus,https://www.wikidata.org/wiki/Q5113
08118721-n,bloodstock,-
08118376-n,"breed, strain, stock",-
11585491-n,caryophylloid dicot family,https://www.wikidata.org/wiki/Q1765819
11594111-n,caryophylloid dicot genus,https://www.wikidata.org/wiki/Q1765819
01469469-n,chordate family,https://www.wikidata.org/wiki/Q10915
01469637-n,chordate genus,https://www.wikidata.org/wiki/Q10915
08120743-n,class,-
01910928-n,coelenterate family,https://www.wikidata.org/wiki/Q25441
01911056-n,coelenterate genus,https://www.wikidata.org/wiki/Q25441
12633401-n,common arrowhead,-
01920651-n,ctenophore family,https://www.wikidata.org/wiki/Q102778
01920793-n,ctenophore genus,https://www.wikidata.org/wiki/Q102778
12178194-n,cucurbit,-
13105594-n,cultivar,-
11583198-n,"dicot family, magnoliopsid family","https://www.wikidata.org/wiki/Q8316,https://www.wikidata.org/wiki/Q165468"
11587862-n,"dicot genus, magnoliopsid genus","https://www.wikidata.org/wiki/Q8316,https://www.wikidata.org/wiki/Q165468"
11585836-n,dilleniid dicot family,https://www.wikidata.org/wiki/Q2070446
11595876-n,dilleniid dicot genus,https://www.wikidata.org/wiki/Q2070446
08237812-n,division,-
02318690-n,echinoderm family,https://www.wikidata.org/wiki/Q44631
02318832-n,echinoderm genus,https://www.wikidata.org/wiki/Q44631
08127832-n,endangered species,-
08124465-n,family,-
13187236-n,fern family,https://www.wikidata.org/wiki/Q373615
13187976-n,fern genus,https://www.wikidata.org/wiki/Q373615
13024825-n,Fischer's slime mushroom,-
01431990-n,fish family,https://www.wikidata.org/wiki/Q152
01435158-n,fish genus,https://www.wikidata.org/wiki/Q152
08127993-n,fish species,https://www.wikidata.org/wiki/Q152
08125416-n,form family,-
01327847-n,form genus,-
08127163-n,form genus,-
08128123-n,"form, variant, strain, var.",-
11611234-n,fungus family,https://www.wikidata.org/wiki/Q764
11612597-n,fungus genus,https://www.wikidata.org/wiki/Q764
11615127-n,fungus order,https://www.wikidata.org/wiki/Q764
08125938-n,genus,-
12987050-n,green mushroom pimple,-
11574214-n,gymnosperm family,https://www.wikidata.org/wiki/Q133712
11574626-n,gymnosperm genus,https://www.wikidata.org/wiki/Q133712
11585185-n,hamamelid dicot family,https://www.wikidata.org/wiki/Q1768451
11593624-n,hamamelid dicot genus,https://www.wikidata.org/wiki/Q1768451
07956792-n,kingdom,-
11576638-n,liliid monocot family,https://www.wikidata.org/wiki/Q777069
11581679-n,liliid monocot genus,https://www.wikidata.org/wiki/Q777069
11584709-n,magnoliid dicot family,https://www.wikidata.org/wiki/Q13582382
11592358-n,magnoliid dicot genus,https://www.wikidata.org/wiki/Q13582382
01865198-n,mammal family,https://www.wikidata.org/wiki/Q7377
01867348-n,mammal genus,https://www.wikidata.org/wiki/Q7377
12860079-n,mint,-
01941491-n,mollusk family,https://www.wikidata.org/wiki/Q25326
01942239-n,mollusk genus,https://www.wikidata.org/wiki/Q25326
11575864-n,"monocot family, liliopsid family","https://www.wikidata.org/wiki/Q1147601,https://www.wikidata.org/wiki/Q78961"
11577308-n,"monocot genus, liliopsid genus","https://www.wikidata.org/wiki/Q1147601,https://www.wikidata.org/wiki/Q78961"
08126738-n,monotype,-
11558116-n,moss family,https://www.wikidata.org/wiki/Q25347
11558337-n,moss genus,https://www.wikidata.org/wiki/Q25347
12986808-n,mushroom pimple,-
12986953-n,orange mushroom pimple,-
08123900-n,order,-
08118812-n,pedigree,-
08119521-n,phylum,-
11765052-n,plant family,https://www.wikidata.org/wiki/Q756
11765328-n,plant genus,https://www.wikidata.org/wiki/Q756
11555128-n,plant order,https://www.wikidata.org/wiki/Q756
01390258-n,protoctist family,https://www.wikidata.org/wiki/Q10892
01390771-n,protoctist genus,https://www.wikidata.org/wiki/Q10892
01349840-n,protoctist order,https://www.wikidata.org/wiki/Q10892
01659454-n,reptile family,https://www.wikidata.org/wiki/Q10811
01660364-n,reptile genus,https://www.wikidata.org/wiki/Q10811
11587133-n,rosid dicot family,https://www.wikidata.org/wiki/Q3442619
11605791-n,rosid dicot genus,https://www.wikidata.org/wiki/Q3442619
13024606-n,slime mushroom,-
08127339-n,species,-
01909675-n,sponge genus,https://www.wikidata.org/wiki/Q18960
08123627-n,subclass,-
08125593-n,subfamily,-
08126590-n,subgenus,-
07957105-n,subkingdom,-
08124157-n,suborder,-
08120265-n,subphylum,-
08127614-n,"subspecies, race",-
08123764-n,superclass,-
08125270-n,superfamily,-
08124309-n,superorder,-
08120423-n,superphylum,-
08125750-n,tribe,-
08128385-n,type,-
08126906-n,type genus,-
08128565-n,type species,-
08118051-n,variety,-
13024734-n,white slime mushroom,-
01924200-n,worm family,"https://www.wikidata.org/wiki/Q124900,https://www.wikidata.org/wiki/Q5185,https://www.wikidata.org/wiki/Q25522"
01924528-n,worm genus,"https://www.wikidata.org/wiki/Q124900,https://www.wikidata.org/wiki/Q5185,https://www.wikidata.org/wiki/Q25522"